trip_id,arrival_time,departure_time,stop_id,stop_sequence
7,10:55:00,10:55:00,blue-6,1
7,10:58:00,10:58:00,blue-7,2
7,11:00:00,11:00:00,blue-8,3
7,11:10:00,11:10:00,blue-9,4
7,11:15:00,11:15:00,blue-10,5
7,11:20:00,11:20:00,blue-11,6
7,11:23:00,11:23:00,blue-12,7
7,11:26:00,11:26:00,blue-1,8
7,11:00:00,11:00:00,blue-1,1
7,11:03:00,11:03:00,blue-2,2
7,11:07:00,11:07:00,blue-3,3
7,11:10:00,11:10:00,blue-4,4
7,11:15:00,11:15:00,blue-5,5
7,11:25:00,11:25:00,blue-6,6
7,11:28:00,11:28:00,blue-7,7
7,11:30:00,11:30:00,blue-8,8
7,11:40:00,11:40:00,blue-9,9
7,11:45:00,11:45:00,blue-10,10
7,11:50:00,11:50:00,blue-11,11
7,11:53:00,11:53:00,blue-12,12
7,11:56:00,11:56:00,blue-1,13
7,11:30:00,11:30:00,blue-1,1
7,11:33:00,11:33:00,blue-2,2
7,11:37:00,11:37:00,blue-3,3
7,11:40:00,11:40:00,blue-4,4
7,11:45:00,11:45:00,blue-5,5
7,11:55:00,11:55:00,blue-6,6
7,11:58:00,11:58:00,blue-7,7
7,12:00:00,12:00:00,blue-8,8
7,12:10:00,12:10:00,blue-9,9
7,12:15:00,12:15:00,blue-10,10
7,12:20:00,12:20:00,blue-11,11
7,12:23:00,12:23:00,blue-12,12
7,12:26:00,12:26:00,blue-1,13
7,12:00:00,12:00:00,blue-1,1
7,12:03:00,12:03:00,blue-2,2
7,12:07:00,12:07:00,blue-3,3
7,12:10:00,12:10:00,blue-4,4
7,12:15:00,12:15:00,blue-5,5
7,12:25:00,12:25:00,blue-6,6
7,12:28:00,12:28:00,blue-7,7
7,12:30:00,12:30:00,blue-8,8
7,12:40:00,12:40:00,blue-9,9
7,12:45:00,12:45:00,blue-10,10
7,12:50:00,12:50:00,blue-11,11
7,12:53:00,12:53:00,blue-12,12
7,12:56:00,12:56:00,blue-1,13
7,12:30:00,12:30:00,blue-1,1
7,12:33:00,12:33:00,blue-2,2
7,12:37:00,12:37:00,blue-3,3
7,12:40:00,12:40:00,blue-4,4
7,12:45:00,12:45:00,blue-5,5
7,12:55:00,12:55:00,blue-6,6
7,12:58:00,12:58:00,blue-7,7
7,13:00:00,13:00:00,blue-8,8
7,13:10:00,13:10:00,blue-9,9
7,13:15:00,13:15:00,blue-10,10
7,13:20:00,13:20:00,blue-11,11
7,13:23:00,13:23:00,blue-12,12
7,13:26:00,13:26:00,blue-1,13
7,13:00:00,13:00:00,blue-1,1
7,13:03:00,13:03:00,blue-2,2
7,13:07:00,13:07:00,blue-3,3
7,13:10:00,13:10:00,blue-4,4
7,13:15:00,13:15:00,blue-5,5
7,13:25:00,13:25:00,blue-6,6
7,13:28:00,13:28:00,blue-7,7
7,13:30:00,13:30:00,blue-8,8
7,13:40:00,13:40:00,blue-9,9
7,13:45:00,13:45:00,blue-10,10
7,13:50:00,13:50:00,blue-11,11
7,13:53:00,13:53:00,blue-12,12
7,13:56:00,13:56:00,blue-1,13
7,13:30:00,13:30:00,blue-1,1
7,13:33:00,13:33:00,blue-2,2
7,13:37:00,13:37:00,blue-3,3
7,13:40:00,13:40:00,blue-4,4
7,13:45:00,13:45:00,blue-5,5
7,13:55:00,13:55:00,blue-6,6
7,13:58:00,13:58:00,blue-7,7
7,14:00:00,14:00:00,blue-8,8
7,14:10:00,14:10:00,blue-9,9
7,14:15:00,14:15:00,blue-10,10
7,14:20:00,14:20:00,blue-11,11
7,14:23:00,14:23:00,blue-12,12
7,14:26:00,14:26:00,blue-1,13
7,14:00:00,14:00:00,blue-1,1
7,14:03:00,14:03:00,blue-2,2
7,14:07:00,14:07:00,blue-3,3
7,14:10:00,14:10:00,blue-4,4
7,14:15:00,14:15:00,blue-5,5
7,14:25:00,14:25:00,blue-6,6
7,14:28:00,14:28:00,blue-7,7
7,14:30:00,14:30:00,blue-8,8
7,14:40:00,14:40:00,blue-9,9
7,14:45:00,14:45:00,blue-10,10
7,14:50:00,14:50:00,blue-11,11
7,14:53:00,14:53:00,blue-12,12
7,14:56:00,14:56:00,blue-1,13
7,14:30:00,14:30:00,blue-1,1
7,14:33:00,14:33:00,blue-2,2
7,14:37:00,14:37:00,blue-3,3
7,14:40:00,14:40:00,blue-4,4
7,14:45:00,14:45:00,blue-5,5
7,14:55:00,14:55:00,blue-6,6
7,14:58:00,14:58:00,blue-7,7
7,15:00:00,15:00:00,blue-8,8
7,15:10:00,15:10:00,blue-9,9
7,15:15:00,15:15:00,blue-10,10
7,15:20:00,15:20:00,blue-11,11
7,15:23:00,15:23:00,blue-12,12
7,15:26:00,15:26:00,blue-1,13
7,15:00:00,15:00:00,blue-1,1
7,15:03:00,15:03:00,blue-2,2
7,15:07:00,15:07:00,blue-3,3
7,15:10:00,15:10:00,blue-4,4
7,15:15:00,15:15:00,blue-5,5
7,15:25:00,15:25:00,blue-6,6
7,15:28:00,15:28:00,blue-7,7
7,15:30:00,15:30:00,blue-8,8
7,15:40:00,15:40:00,blue-9,9
7,15:45:00,15:45:00,blue-10,10
7,15:50:00,15:50:00,blue-11,11
7,15:53:00,15:53:00,blue-12,12
7,15:56:00,15:56:00,blue-1,13
7,15:30:00,15:30:00,blue-1,1
7,15:33:00,15:33:00,blue-2,2
7,15:37:00,15:37:00,blue-3,3
7,15:40:00,15:40:00,blue-4,4
7,15:45:00,15:45:00,blue-5,5
7,15:55:00,15:55:00,blue-6,6
7,15:58:00,15:58:00,blue-7,7
